level,result,block_reached,total_length,time
level_0.txt,1,128,128,18
level_1.txt,0,130,148,45
level_2.txt,0,96,149,12
level_3.txt,0,45,108,45
level_4.txt,0,40,132,45
level_5.txt,1,42,42,9
level_6.txt,0,86,156,45
level_7.txt,1,135,135,22
level_8.txt,1,129,129,18
level_9.txt,1,145,145,23
level_10.txt,1,143,143,20
level_11.txt,1,85,85,13
level_12.txt,1,147,147,23
level_13.txt,1,176,176,26
level_14.txt,1,151,151,21
level_15.txt,1,152,152,22
level_16.txt,0,96,119,45
level_17.txt,0,51,141,6
level_18.txt,0,116,134,14
level_19.txt,1,134,134,18
level_20.txt,1,132,132,18
level_21.txt,1,126,126,19
level_22.txt,1,133,133,20
level_23.txt,1,137,137,18
level_24.txt,1,121,121,17
level_25.txt,0,49,159,45
level_26.txt,0,126,137,45
level_27.txt,1,125,125,21
level_28.txt,1,155,155,21
level_29.txt,0,72,139,45
level_30.txt,0,76,98,31
level_31.txt,0,32,144,3
level_32.txt,1,108,108,17
level_33.txt,1,149,149,20
level_34.txt,1,157,157,21
level_35.txt,0,62,122,45
level_36.txt,0,136,144,45
level_37.txt,0,62,117,45
level_38.txt,0,38,173,45
level_39.txt,0,86,114,45
level_40.txt,0,61,145,45
level_41.txt,1,140,140,20
level_42.txt,1,154,154,22
level_43.txt,0,61,132,45
level_44.txt,1,136,136,20
level_45.txt,1,148,148,22
level_46.txt,0,72,143,45
level_47.txt,0,49,138,5
level_48.txt,0,43,129,45
level_49.txt,1,134,134,19
level_50.txt,0,72,135,45
level_51.txt,1,162,162,22
level_52.txt,1,137,137,20
level_53.txt,1,135,135,19
level_54.txt,1,149,149,22
level_55.txt,0,143,151,45
level_56.txt,0,6,150,45
level_57.txt,0,120,126,18
level_58.txt,0,95,153,45
level_59.txt,1,152,152,22
level_60.txt,1,61,61,11
level_61.txt,0,88,110,45
level_62.txt,1,148,148,21
level_63.txt,0,43,136,6
level_64.txt,1,124,124,18
level_65.txt,0,101,136,34
level_66.txt,0,113,150,45
level_67.txt,1,152,152,20
level_68.txt,1,136,136,20
level_69.txt,1,135,135,21
level_70.txt,0,42,144,45
level_71.txt,1,148,148,20
level_72.txt,0,15,165,45
level_73.txt,1,142,142,21
level_74.txt,1,115,115,17
level_75.txt,1,107,107,16
level_76.txt,0,56,129,45
level_77.txt,1,154,154,20
level_78.txt,0,114,132,45
level_79.txt,0,82,141,45
level_80.txt,1,140,140,19
level_81.txt,0,94,105,11
level_82.txt,1,143,143,21
level_83.txt,0,43,134,45
level_84.txt,0,7,151,45
level_85.txt,1,144,144,21
level_86.txt,0,109,173,14
level_87.txt,1,127,127,20
level_88.txt,1,146,146,22
level_89.txt,0,19,140,45
level_90.txt,1,136,136,20
level_91.txt,1,157,157,20
level_92.txt,0,41,103,45
level_93.txt,1,138,138,22
level_94.txt,1,140,140,20
level_95.txt,0,123,129,45
level_96.txt,0,33,177,5
level_97.txt,0,55,147,45
level_98.txt,0,29,129,45
level_99.txt,0,72,141,8
level_100.txt,0,73,156,9
level_101.txt,1,153,153,21
level_102.txt,1,125,125,18
level_103.txt,0,71,152,45
level_104.txt,0,95,119,11
level_105.txt,1,137,137,19
level_106.txt,1,167,167,22
level_107.txt,1,64,64,11
level_108.txt,1,130,130,20
level_109.txt,0,82,131,45
level_110.txt,0,141,160,45
level_111.txt,1,145,145,20
level_112.txt,0,140,150,45
level_113.txt,1,150,150,20
level_114.txt,1,134,134,20
level_115.txt,0,35,129,45
level_116.txt,0,64,145,45
level_117.txt,1,142,142,19
level_118.txt,1,134,134,19
level_119.txt,1,135,135,31
level_120.txt,1,139,139,21
level_121.txt,1,145,145,20
level_122.txt,1,136,136,20
level_123.txt,1,151,151,21
level_124.txt,0,127,136,15
level_125.txt,1,116,116,19
level_126.txt,0,102,145,45
level_127.txt,0,62,160,7
level_128.txt,1,127,127,19
level_129.txt,0,47,95,7
level_130.txt,0,18,139,45
level_131.txt,1,159,159,24
level_132.txt,0,59,93,45
level_133.txt,0,54,136,45
level_134.txt,1,136,136,20
level_135.txt,1,157,157,22
