name,result,reached,length,time
level_1,0,140,202,39
level_2,1,201,202,43
level_3,1,201,202,39
level_4,1,201,202,25
level_5,1,201,202,38
level_6,1,201,202,27
level_7,1,201,202,21
level_8,1,201,202,40
level_9,1,201,202,28
level_10,1,201,202,25
level_11,1,201,202,35
level_12,1,201,202,27
level_13,0,180,202,29
level_14,1,201,202,28
level_15,1,201,202,40
level_16,1,201,202,23
level_17,0,167,202,33
level_18,1,201,202,32
level_19,0,188,202,37
level_20,0,198,202,37
level_21,0,137,202,41
level_22,1,201,202,40
level_23,0,129,202,24
level_24,1,201,202,25
level_25,1,201,202,32
level_26,1,201,202,36
level_27,1,201,202,43
level_28,1,201,202,29
level_29,1,201,202,23
level_30,1,201,202,30
level_31,1,201,202,30
level_32,1,201,202,45
level_33,1,201,202,32
level_34,1,201,202,22
level_35,0,167,202,22
level_36,1,201,202,20
level_37,1,201,202,44
level_38,0,149,202,26
level_39,1,201,202,42
level_40,1,201,202,41
level_41,0,153,202,30
level_42,1,201,202,34
level_43,1,201,202,42
level_44,1,201,202,44
level_45,1,201,202,40
level_46,1,201,202,43
level_47,1,201,202,21
level_48,1,201,202,40
level_49,0,126,202,44
level_50,1,201,202,33
level_51,0,190,202,28
level_52,1,201,202,21
level_53,1,201,202,34
level_54,0,170,202,33
level_55,1,201,202,23
level_56,1,201,202,40
level_57,0,163,202,27
level_58,1,201,202,44
level_59,1,201,202,20
level_60,1,201,202,35
level_61,1,201,202,25
level_62,1,201,202,42
level_63,1,201,202,21
level_64,1,201,202,30
level_65,1,201,202,22
level_66,1,201,202,40
level_67,1,201,202,20
level_68,0,176,202,44
level_69,1,201,202,31
level_70,0,160,202,26
level_71,0,172,202,39
level_72,1,201,202,30
level_73,1,201,202,29
level_74,1,201,202,36
level_75,1,201,202,21
level_76,1,201,202,36
level_77,0,198,202,29
level_78,0,169,202,22
level_79,1,201,202,44
level_80,1,201,202,28
level_81,1,201,202,27
level_82,1,201,202,33
level_83,1,201,202,34
level_84,1,201,202,34
level_85,1,201,202,24
level_86,1,201,202,32
level_87,1,201,202,34
