name,result,reached,length,time
level_1,1,201,202,35
level_2,1,201,202,28
level_3,0,170,202,42
level_4,0,118,202,29
level_5,1,201,202,29
level_6,0,118,202,42
level_7,1,201,202,31
level_8,1,201,202,45
level_9,0,197,202,23
level_10,0,102,202,37
level_11,1,201,202,26
level_12,0,159,202,29
level_13,0,112,202,30
level_14,1,201,202,31
level_15,1,201,202,20
level_16,0,104,202,20
level_17,1,201,202,25
level_18,1,201,202,24
level_19,1,201,202,39
level_20,1,201,202,41
level_21,1,201,202,40
level_22,1,201,202,21
level_23,1,201,202,41
level_24,1,201,202,23
level_25,1,201,202,38
level_26,1,201,202,37
level_27,1,201,202,39
level_28,1,201,202,45
level_29,1,201,202,40
level_30,1,201,202,27
level_31,0,190,202,22
level_32,1,201,202,23
level_33,0,141,202,20
level_34,1,201,202,21
level_35,0,120,202,34
level_36,1,201,202,36
level_37,1,201,202,26
level_38,1,201,202,23
level_39,0,113,202,26
level_40,1,201,202,37
level_41,1,201,202,38
level_42,1,201,202,33
level_43,1,201,202,29
level_44,1,201,202,32
level_45,0,151,202,32
level_46,1,201,202,20
level_47,1,201,202,36
level_48,1,201,202,35
level_49,1,201,202,45
level_50,1,201,202,28
level_51,0,104,202,38
level_52,1,201,202,28
level_53,1,201,202,24
level_54,1,201,202,38
level_55,1,201,202,39
level_56,1,201,202,26
level_57,1,201,202,43
level_58,1,201,202,42
level_59,0,190,202,45
level_60,1,201,202,27
level_61,0,174,202,38
level_62,1,201,202,30
level_63,1,201,202,38
level_64,1,201,202,45
level_65,1,201,202,24
level_66,1,201,202,24
level_67,1,201,202,29
level_68,0,173,202,40
level_69,1,201,202,45
level_70,1,201,202,28
level_71,1,201,202,28
level_72,1,201,202,38
level_73,1,201,202,26
level_74,1,201,202,42
level_75,1,201,202,23
level_76,0,106,202,37
level_77,1,201,202,41
level_78,1,201,202,30
level_79,1,201,202,26
level_80,1,201,202,37
level_81,1,201,202,30
level_82,1,201,202,32
level_83,1,201,202,40
level_84,1,201,202,36
level_85,1,201,202,43
level_86,1,201,202,29
level_87,1,201,202,37
level_88,1,201,202,44
level_89,1,201,202,26
level_90,1,201,202,33
level_91,1,201,202,44
level_92,0,183,202,22
level_93,1,201,202,20
level_94,0,170,202,38
level_95,0,177,202,31
level_96,0,116,202,34
level_97,1,201,202,41
level_98,0,138,202,43
level_99,1,201,202,27
level_100,1,201,202,44
level_101,1,201,202,32
level_102,1,201,202,30
level_103,1,201,202,45
level_104,1,201,202,40
level_105,1,201,202,26
level_106,0,148,202,34
level_107,1,201,202,40
level_108,1,201,202,34
level_109,1,201,202,39
level_110,0,197,202,27
level_111,1,201,202,43
