line_distance,leniency,result
3.065217391304348,6.833333333333334,0
5.0,10.0,1
2.890625,10.5,1
3.3,16.5,1
4.044776119402985,8.5,1
6.9375,1.0,1
3.654545454545455,3.0,1
3.2,15.5,1
2.7857142857142856,11.1,1
4.338983050847458,5.5,1
2.96,17.5,1
3.230769230769231,7.0,1
2.971014492753623,4.7,0
2.864406779661017,30.5,1
2.851063829787234,13.25,1
2.1724137931034484,15.5,1
2.6666666666666665,12.5,0
2.507936507936508,13.3,1
2.073170731707317,6.5,0
3.078125,7.5,0
2.6129032258064515,14.5,0
4.222222222222222,7.0,1
3.017857142857143,33.0,0
2.4901960784313726,13.5,1
2.6578947368421053,8.666666666666668,1
3.2222222222222223,20.5,1
2.4642857142857144,12.333333333333332,1
2.967741935483871,19.3,1
4.074074074074074,9.5,1
2.7580645161290325,12.166666666666668,1
5.8979591836734695,2.0,1
2.5245901639344264,14.928571428571429,1
4.276595744680851,20.5,1
2.983050847457627,17.5,1
1.8461538461538465,17.61111111111111,0
2.976744186046512,10.5,1
1.9069767441860463,4.75,1
6.333333333333333,3.0,0
3.2222222222222223,51.5,1
2.66,15.5,1
3.015873015873016,12.5,0
2.48,8.5,1
2.2280701754385963,9.75,1
3.7358490566037736,48.5,1
2.6222222222222222,17.5,1
2.253731343283582,9.1,1
3.46875,22.0,1
4.298507462686567,15.5,1
2.911111111111111,28.5,0
2.7555555555555555,9.0,1
4.538461538461538,8.0,0
2.533333333333333,23.166666666666664,1
5.5,14.5,1
5.967213114754099,8.5,0
2.238805970149253,22.5,1
3.090909090909091,16.5,1
3.2142857142857144,38.5,0
6.326086956521739,7.0,1
2.7222222222222223,21.642857142857142,1
2.6,16.9,1
4.136363636363637,4.5,1
5.044444444444444,3.0,1
2.3255813953488373,19.0,1
4.0,13.0,1
4.826923076923077,17.5,1
3.5,4.833333333333333,1
2.672131147540984,19.7,1
3.129032258064516,16.5,0
2.482142857142857,12.166666666666666,1
4.619047619047619,11.7,0
3.2916666666666665,17.5,0
2.0232558139534884,23.666666666666664,1
3.333333333333333,14.5,1
2.5,7.5,1
3.844444444444445,33.0,1
2.895833333333333,17.833333333333332,1
4.42,18.0,0
2.7209302325581395,12.5,0
4.344262295081967,10.0,1
2.507936507936508,17.3,1
3.1578947368421053,9.0,1
3.631578947368421,8.5,1
2.5090909090909093,0.5,1
3.0357142857142856,6.5,1
3.2203389830508478,22.25,1
3.4833333333333334,27.75,1
2.8,22.8125,1
3.1666666666666665,15.333333333333332,0
1.9206349206349207,22.0,1
3.2586206896551726,11.0,1
3.392857142857143,6.0,0
2.6595744680851063,13.5,1
4.341463414634147,11.0,0
4.54,17.0,1
1.6,12.642857142857142,1
3.135593220338983,12.785714285714285,1
2.536231884057971,29.5,1
2.2222222222222223,11.75,1
3.0444444444444443,12.5,1
6.171428571428572,4.0,1
6.807692307692308,10.0,1
3.288135593220339,9.0,1
3.847457627118644,10.5,1
3.0476190476190474,24.75,1
4.033898305084746,14.5,1
3.9696969696969697,2.5,1
2.34,26.25,0
2.0,8.5,1
2.793103448275862,17.0,1
4.283018867924528,38.0,1
3.188405797101449,18.5,0
2.294117647058824,12.5,1
2.753846153846154,21.5,1
4.925925925925926,16.5,1
2.392857142857143,12.9,0
