linearity,leniency,result
2.0783657703847624,19.5,0
1.883238050333,13.0,1
1.8303874756151857,16.5,1
1.9900117875876693,19.5,1
2.129627954059763,7.0,1
2.234637499856538,23.5,1
2.003845072165411,10.0,1
1.8606104367261085,10.0,1
2.128520500044629,20.0,1
1.9981621718836584,13.5,1
1.5700355511846629,15.5,1
1.9930700548870213,18.5,1
2.166788030737371,17.0,0
2.296837169809458,15.5,1
2.0085757969398426,10.5,1
1.9542057361903344,19.0,1
2.1303125731823056,13.0,0
2.0798604308716664,19.5,1
1.9685137747521952,7.0,0
2.197222177516697,18.0,0
1.9930950787064188,20.5,0
2.374407454426683,25.5,1
1.7796660913669826,15.5,0
1.532530000062467,10.0,1
2.0754679735111496,15.5,1
2.042370723185208,17.0,1
2.0955501856545067,18.5,1
2.2032895217204502,24.0,1
1.9199993434496796,15.5,1
1.6483189918991905,12.5,1
2.2764866761498337,15.0,1
2.102183302536793,18.0,1
1.903001200480193,11.5,1
1.6409337466098408,7.5,1
2.1811753933803573,21.5,0
1.7435179156551834,8.0,1
1.995508563918658,14.5,1
1.80755796827,6.0,0
2.096232686980609,8.0,1
1.895112871287129,18.5,1
2.2563647145605232,14.5,0
2.1524113329182564,17.0,1
2.2230775316455693,15.5,1
1.9920403959926447,15.0,1
1.8405404418713796,13.5,1
1.7510107689757044,9.5,1
2.231834148866676,20.5,1
2.01647448267982,19.0,1
1.7010437650266206,11.0,0
1.9788355526918668,15.0,1
1.9478361629704437,15.5,0
2.125685134395695,14.0,1
1.9045417575293229,14.5,1
2.087717423134216,15.0,0
1.941976754218383,9.5,1
2.00328947368421,18.5,1
2.2704355295390184,25.5,0
1.76718593896083,18.0,1
2.2996263954409097,17.0,1
1.9383009335162449,15.0,1
2.091947756825929,18.5,1
2.1193807957154625,15.5,1
2.1690153185648144,20.0,1
1.9580926136809085,13.5,1
2.1302100668342296,15.0,1
2.17556786703601,19.0,1
1.8968729971327376,16.5,1
1.7614946661165785,10.5,0
2.1044017298197897,15.5,1
2.457835021558825,29.5,0
1.8778234623462355,15.0,0
1.8773954168024247,15.0,1
2.107171164249816,18.0,1
2.0416139240506324,16.0,1
2.2402605862271656,19.5,1
2.2438894691135567,17.0,1
2.365663101719292,19.0,0
2.089134948096887,20.5,0
2.2580066287567475,10.0,1
1.955056844819504,15.5,1
2.230081913285984,15.5,1
1.9003431614465576,16.5,1
2.3352920513231368,25.0,1
2.097184990068885,17.5,1
2.315323770077109,18.0,1
2.229643343281087,18.0,1
2.2469250135074543,29.0,1
2.0976213404683515,20.0,0
2.326637447444432,20.5,1
2.1049254503442967,19.0,1
2.182993824134888,18.0,0
1.9020219058656125,18.0,1
2.342148433284168,18.0,0
2.2708886618998982,22.0,1
1.8712561135448476,12.0,1
2.57906733351857,15.5,1
2.2410881621725003,18.5,1
1.951850665658596,20.0,1
2.211416301971316,23.0,1
1.996162437359241,15.0,1
2.242046343169939,18.0,1
2.0014301128699823,16.0,1
1.7617900714004604,12.0,1
1.7745230495014046,11.5,1
2.2402398774090884,25.0,1
2.0953806046446743,20.5,1
2.309885347962942,22.5,0
2.2660859315141155,23.0,1
2.0294600278427777,19.5,1
2.1456597869402456,19.0,1
2.026294506738894,17.0,0
1.6850928272529024,13.5,1
2.033135228695933,17.0,1
2.104732550901112,19.5,1
1.9979430379746836,13.0,0
1.9284928049828172,18.0,1
2.4722942768555303,26.5,1
2.252538364743488,18.5,1
1.856344758079134,13.5,0
2.1081079709601704,24.0,1
2.222002294893862,17.0,0
2.511427137150656,20.0,1
1.8765458145814589,15.0,1
1.6388379775334512,7.0,1
1.9216249861338783,10.0,1
2.0182138911774032,17.0,1
2.062126966901791,22.0,1
1.8094426849405203,13.0,0
1.9120457907595545,13.0,1
2.218770749874429,22.0,1
2.3825524093742896,23.5,0
2.105530873087309,18.5,1
1.8851245370826129,22.5,1
2.232387196355893,15.0,1
2.0488829851467214,22.5,1
1.895634871268295,18.0,1
2.2406614051242992,25.0,1
1.987406701786199,17.5,1
1.7586364486175463,6.0,1
2.0058413197524176,13.0,1
2.1055991810013213,18.5,1
1.9942452886273108,20.0,1
1.8612771790706175,18.5,1
2.368103682629998,22.5,1
2.061986619289991,19.0,1
1.7780578447779656,18.5,1
1.896567322368188,26.0,1
2.105907908155099,20.0,1
1.7215496061914286,17.5,0
2.1626000348853665,22.0,1
2.3624018586764945,13.5,1
2.232148527313279,19.5,0
2.1645252771296764,25.5,1
2.098611838986371,16.5,1
2.1867960991992943,17.0,1
2.273864934908993,10.0,1
2.191024922281008,9.0,1
2.2252801824337403,22.5,1
2.286118654752493,12.0,0
2.1313971682485766,18.5,1
1.880201511841587,14.0,0
2.157847525085087,16.5,1
2.4513182059088168,15.5,1
2.5249818642012576,20.5,1
2.057918127579349,26.0,1
2.260929236968017,17.5,1
2.189673934919993,17.0,1
1.6860370836850291,17.0,1
2.045529066437572,19.0,1
2.387552208197619,19.0,1
1.831819627175432,14.0,1
2.2147826434405617,19.5,0
2.219539001478396,17.5,1
2.174002689995286,17.0,1
2.10660142465386,17.0,0
1.9356192279287725,16.0,1
2.253448179968089,22.5,1
2.080897419208647,12.5,1
2.0381029386285,26.5,1
2.2476277479813755,21.0,1
2.1303006329113927,14.0,1
1.893287263511524,12.0,1
2.4709189189189185,18.5,1
2.015795148247978,15.5,1
1.846675667566756,15.0,1
2.152753872633391,16.5,1
2.319485545222105,19.5,1
1.808534538650297,14.5,1
2.451711742593388,28.0,1
1.964844696914381,14.5,0
1.963150148147759,16.0,0
2.059861436940087,16.5,1
2.402635179273539,14.0,1
2.099397142280856,20.0,1
2.249284315097439,20.5,1
1.9486242805131968,16.5,1
2.0057899180558563,17.5,1
2.1462747004136777,15.5,1
2.1491379976980767,18.0,1
1.9708700724901025,17.5,0
1.7205758788152934,15.0,1
2.015269791623739,21.5,1
2.0609647586426623,12.5,0
2.116973306470063,19.5,1
2.3855966964392707,20.0,1
1.7219451496025793,10.5,1
2.4164067132631706,20.5,1
1.8688658268632492,18.5,1
2.0926371308016884,5.0,1
1.937088159791554,19.0,0
1.7742894661493036,12.0,0
1.9774399755832883,20.5,1
2.055899189918991,21.0,1
1.7598117629451613,11.0,1
2.1271855866706826,17.5,1
2.000054876600664,21.0,1
1.845417842273582,17.5,1
2.167215919440535,22.0,1
1.920190154534652,20.0,1
1.7904952637754414,13.5,1
2.1387897901971424,19.0,0
1.9779692788292744,17.5,0
2.022626008242049,19.5,0
2.194244681380145,25.5,1
2.0886190779188105,16.0,1
1.9932464053174177,10.0,0
1.9989040729213865,15.5,0
1.980956106422879,12.0,1
1.6482319823964562,13.5,1
2.220865290909258,19.0,1
2.0526747093160376,20.5,1
2.0689811892437824,7.0,1
1.990309430180831,14.5,1
1.6740175794691314,8.5,1
1.8704676966670415,14.5,1
1.9107358287716767,13.0,1
2.278361462728551,19.5,1
1.846359238136976,7.0,1
2.0578924860656187,21.5,1
2.202231685035657,18.5,1
1.927458654210327,14.5,1
1.9969579292887567,15.0,1
2.091081481539125,9.5,1
2.478042306499833,29.5,1
1.895201614162654,22.5,0
2.061895328419847,18.5,1
1.9424961472086573,14.0,1
2.0080835476031136,16.5,0
1.8292907615163023,9.0,1
