level,result,block_reached,total_length,time
level_0.txt,0,25,185,3
level_1.txt,1,175,175,25
level_2.txt,1,166,166,23
level_3.txt,1,193,193,25
level_4.txt,1,147,147,23
level_5.txt,1,181,181,25
level_6.txt,1,152,152,23
level_7.txt,0,112,175,45
level_8.txt,1,181,181,25
level_9.txt,1,168,168,23
level_10.txt,1,168,168,24
level_11.txt,0,133,150,16
level_12.txt,1,123,123,19
level_13.txt,1,166,166,22
level_14.txt,1,158,158,23
level_15.txt,1,176,176,27
level_16.txt,1,176,176,24
level_17.txt,1,184,184,26
level_18.txt,1,167,167,24
level_19.txt,1,201,201,26
level_20.txt,1,186,186,23
level_21.txt,0,124,174,45
level_22.txt,1,180,180,26
level_23.txt,0,69,157,45
level_24.txt,1,155,155,22
level_25.txt,1,183,183,26
level_26.txt,1,171,171,24
level_27.txt,1,184,184,25
level_28.txt,1,138,138,22
level_29.txt,1,154,154,21
level_30.txt,1,151,151,20
level_31.txt,1,162,162,23
level_32.txt,0,65,192,45
level_33.txt,1,154,154,23
level_34.txt,1,166,166,23
level_35.txt,1,179,179,27
level_36.txt,0,25,158,6
level_37.txt,0,46,177,45
level_38.txt,1,148,148,22
level_39.txt,1,165,165,26
level_40.txt,1,149,149,21
level_41.txt,1,184,184,29
level_42.txt,1,162,162,23
level_43.txt,1,155,155,23
level_44.txt,1,150,150,23
level_45.txt,1,167,167,23
level_46.txt,1,165,165,23
level_47.txt,1,174,174,24
level_48.txt,1,160,160,24
level_49.txt,0,61,154,45
level_50.txt,1,164,164,23
level_51.txt,1,161,161,24
level_52.txt,1,139,139,20
level_53.txt,1,185,185,26
level_54.txt,1,161,161,23
level_55.txt,1,145,145,22
level_56.txt,1,184,184,27
level_57.txt,1,154,154,21
level_58.txt,1,165,165,21
level_59.txt,1,165,165,24
level_60.txt,1,165,165,23
level_61.txt,1,159,159,22
level_62.txt,1,161,161,25
level_63.txt,1,171,171,25
level_64.txt,1,161,161,21
level_65.txt,0,25,145,45
level_66.txt,1,161,161,23
level_67.txt,0,103,157,12
level_68.txt,1,174,174,23
level_69.txt,1,192,192,26
level_70.txt,1,166,166,24
level_71.txt,0,147,151,45
level_72.txt,1,161,161,23
level_73.txt,1,185,185,25
level_74.txt,1,168,168,27
level_75.txt,1,134,134,19
level_76.txt,1,161,161,22
level_77.txt,1,185,185,25
level_78.txt,1,166,166,23
level_79.txt,1,167,167,23
level_80.txt,0,187,195,22
level_81.txt,0,59,171,45
level_82.txt,0,147,178,45
level_83.txt,1,167,167,23
level_84.txt,1,171,171,26
level_85.txt,1,170,170,24
level_86.txt,1,160,160,24
level_87.txt,1,146,146,22
level_88.txt,1,166,166,24
level_89.txt,1,158,158,22
level_90.txt,1,169,169,24
level_91.txt,1,182,182,25
level_92.txt,1,173,173,24
level_93.txt,1,163,163,23
level_94.txt,1,189,189,27
level_95.txt,1,163,163,21
level_96.txt,0,92,164,45
level_97.txt,1,170,170,24
level_98.txt,1,147,147,21
level_99.txt,0,43,168,45
level_100.txt,1,152,152,21
level_101.txt,1,166,166,25
level_102.txt,1,187,187,26
level_103.txt,0,38,153,45
level_104.txt,1,181,181,26
level_105.txt,1,162,162,22
level_106.txt,1,187,187,25
level_107.txt,1,175,175,23
level_108.txt,1,190,190,25
level_109.txt,0,89,171,39
level_110.txt,1,166,166,22
level_111.txt,1,171,171,22
level_112.txt,0,108,173,45
level_113.txt,0,70,162,45
level_114.txt,1,161,161,25
level_115.txt,1,170,170,24
level_116.txt,1,150,150,23
level_117.txt,1,185,185,25
level_118.txt,0,155,163,18
level_119.txt,1,150,150,22
level_120.txt,1,152,152,22
level_121.txt,0,141,171,16
level_122.txt,1,169,169,23
level_123.txt,1,161,161,24
level_124.txt,0,73,157,45
level_125.txt,1,156,156,22
level_126.txt,1,179,179,27
level_127.txt,1,182,182,25
level_128.txt,1,189,189,26
level_129.txt,1,156,156,22
level_130.txt,1,176,176,24
level_131.txt,1,162,162,22
level_132.txt,1,163,163,24
level_133.txt,0,35,161,45
level_134.txt,1,188,188,27
level_135.txt,1,164,164,23
level_136.txt,1,163,163,22
level_137.txt,1,159,159,22
level_138.txt,1,177,177,24
level_139.txt,1,175,175,24
level_140.txt,1,150,150,22
level_141.txt,1,165,165,25
level_142.txt,1,188,188,25
level_143.txt,1,161,161,23
level_144.txt,1,165,165,21
level_145.txt,1,157,157,23
level_146.txt,1,161,161,23
level_147.txt,0,101,144,45
level_148.txt,1,153,153,22
level_149.txt,1,149,149,21
level_150.txt,1,176,176,25
level_151.txt,1,162,162,26
level_152.txt,1,146,146,26
level_153.txt,1,157,157,21
level_154.txt,1,177,177,24
level_155.txt,1,162,162,22
level_156.txt,1,157,157,24
level_157.txt,1,189,189,25
level_158.txt,1,177,177,27
level_159.txt,1,150,150,22
level_160.txt,0,199,200,22
level_161.txt,1,137,137,19
level_162.txt,1,157,157,26
level_163.txt,1,174,174,23
level_164.txt,1,166,166,23
level_165.txt,0,35,137,45
level_166.txt,1,173,173,25
level_167.txt,1,155,155,22
level_168.txt,1,177,177,26
level_169.txt,1,35,35,9
level_170.txt,1,168,168,24
level_171.txt,1,155,155,22
level_172.txt,1,159,159,24
level_173.txt,1,151,151,22
level_174.txt,1,167,167,25
level_175.txt,0,79,145,45
level_176.txt,1,168,168,24
level_177.txt,1,143,143,21
level_178.txt,1,178,178,30
level_179.txt,1,155,155,22
level_180.txt,1,174,174,22
level_181.txt,1,157,157,23
level_182.txt,1,144,144,22
level_183.txt,1,141,141,21
level_184.txt,0,122,181,45
level_185.txt,1,183,183,24
level_186.txt,1,172,172,22
level_187.txt,1,170,170,22
level_188.txt,1,154,154,22
level_189.txt,1,186,186,26
level_190.txt,1,157,157,24
level_191.txt,1,183,183,25
level_192.txt,1,171,171,28
level_193.txt,1,158,158,23
level_194.txt,1,164,164,23
level_195.txt,1,180,180,23
level_196.txt,1,176,176,37
level_197.txt,0,34,159,45
level_198.txt,1,188,188,26
level_199.txt,1,189,189,25
level_200.txt,1,194,194,25
level_201.txt,1,178,178,26
level_202.txt,1,165,165,24
level_203.txt,1,168,168,24
level_204.txt,1,169,169,22
level_205.txt,1,180,180,25
level_206.txt,0,109,150,45
level_207.txt,1,157,157,27
level_208.txt,1,162,162,23
level_209.txt,1,180,180,24
level_210.txt,1,158,158,23
level_211.txt,1,165,165,22
level_212.txt,1,178,178,24
level_213.txt,1,148,148,21
level_214.txt,1,152,152,21
level_215.txt,1,158,158,23
level_216.txt,1,161,161,22
level_217.txt,1,179,179,25
level_218.txt,1,201,201,26
level_219.txt,1,160,160,23
level_220.txt,1,176,176,25
level_221.txt,1,164,164,24
level_222.txt,1,163,163,23
level_223.txt,1,179,179,25
level_224.txt,0,63,155,45
level_225.txt,1,167,167,23
level_226.txt,1,162,162,22
level_227.txt,0,155,162,45
level_228.txt,1,201,201,27
level_229.txt,1,164,164,25
level_230.txt,1,161,161,22
level_231.txt,1,142,142,22
level_232.txt,1,174,174,25
level_233.txt,1,161,161,22
level_234.txt,1,175,175,24
level_235.txt,0,152,162,21
level_236.txt,1,156,156,22
level_237.txt,1,186,186,25
level_238.txt,1,179,179,25
level_239.txt,1,176,176,25
level_240.txt,1,166,166,24
level_241.txt,0,130,168,45
level_242.txt,1,167,167,23
level_243.txt,1,163,163,23
level_244.txt,1,162,162,23
level_245.txt,1,164,164,24
level_246.txt,1,149,149,23
level_247.txt,1,153,153,23
level_248.txt,0,138,168,45
level_249.txt,1,170,170,24
level_250.txt,1,170,170,24
level_251.txt,1,191,191,25
level_252.txt,1,186,186,25
level_253.txt,1,170,170,24
level_254.txt,1,183,183,26
level_255.txt,1,176,176,24
level_256.txt,0,32,154,5
level_257.txt,1,171,171,24
level_258.txt,1,177,177,23
level_259.txt,1,161,161,23
level_260.txt,1,152,152,23
level_261.txt,1,157,157,21
level_262.txt,1,188,188,25
level_263.txt,1,201,201,25
level_264.txt,0,137,160,16
level_265.txt,1,160,160,23
level_266.txt,1,165,165,24
level_267.txt,1,151,151,22
level_268.txt,1,180,180,27
level_269.txt,1,171,171,23
level_270.txt,1,148,148,25
level_271.txt,1,199,199,27
level_272.txt,1,151,151,20
level_273.txt,1,153,153,22
level_274.txt,1,178,178,25
level_275.txt,1,171,171,22
level_276.txt,1,170,170,28
level_277.txt,1,171,171,23
level_278.txt,1,178,178,24
level_279.txt,1,180,180,23
level_280.txt,1,168,168,23
level_281.txt,1,181,181,24
level_282.txt,1,145,145,20
level_283.txt,1,181,181,25
level_284.txt,1,162,162,23
level_285.txt,1,173,173,24
level_286.txt,1,173,173,25
level_287.txt,1,173,173,24
level_288.txt,1,161,161,24
level_289.txt,1,158,158,23
level_290.txt,0,22,151,45
level_291.txt,1,177,177,25
level_292.txt,1,173,173,24
level_293.txt,0,56,157,45
level_294.txt,1,160,160,24
level_295.txt,1,175,175,26
level_296.txt,1,144,144,21
level_297.txt,0,146,173,45
level_298.txt,1,153,153,21
level_299.txt,1,182,182,24
level_300.txt,1,177,177,25
level_301.txt,1,135,135,23
level_302.txt,1,153,153,22
level_303.txt,1,147,147,21
level_304.txt,1,177,177,25
level_305.txt,1,186,186,30
level_306.txt,0,28,155,45
level_307.txt,1,153,153,23
level_308.txt,1,157,157,22
level_309.txt,1,157,157,23
level_310.txt,1,193,193,25
level_311.txt,1,167,167,22
level_312.txt,1,123,123,34
level_313.txt,1,173,173,23
level_314.txt,0,149,164,45
level_315.txt,0,167,175,18
level_316.txt,1,170,170,23
level_317.txt,1,177,177,24
level_318.txt,1,179,179,25
level_319.txt,1,171,171,24
level_320.txt,1,152,152,23
level_321.txt,1,171,171,25
level_322.txt,1,176,176,28
level_323.txt,1,181,181,25
level_324.txt,1,161,161,23
level_325.txt,1,188,188,25
level_326.txt,1,195,195,29
level_327.txt,0,155,166,21
level_328.txt,1,164,164,22
level_329.txt,1,176,176,25
level_330.txt,1,167,167,23
level_331.txt,1,188,188,26
level_332.txt,1,191,191,26
level_333.txt,1,171,171,23
level_334.txt,0,75,167,9
level_335.txt,1,200,200,27
level_336.txt,1,153,153,23
level_337.txt,1,154,154,22
level_338.txt,0,135,174,45
level_339.txt,1,175,175,31
level_340.txt,1,156,156,24
level_341.txt,1,175,175,26
level_342.txt,1,165,165,22
level_343.txt,1,150,150,21
level_344.txt,1,153,153,21
level_345.txt,1,161,161,24
level_346.txt,1,174,174,27
level_347.txt,0,48,175,45
level_348.txt,1,163,163,23
level_349.txt,1,179,179,28
level_350.txt,1,163,163,24
level_351.txt,1,159,159,21
level_352.txt,1,182,182,26
level_353.txt,1,152,152,20
level_354.txt,1,161,161,21
level_355.txt,1,159,159,23
level_356.txt,1,155,155,24
level_357.txt,1,201,201,27
level_358.txt,1,169,169,29
level_359.txt,1,168,168,24
level_360.txt,1,157,157,23
level_361.txt,0,146,152,45
level_362.txt,1,176,176,25
level_363.txt,1,158,158,23
level_364.txt,1,159,159,22
level_365.txt,1,177,177,27
level_366.txt,1,176,176,24
level_367.txt,1,163,163,23
level_368.txt,1,171,171,23
level_369.txt,1,175,175,26
level_370.txt,1,173,173,24
level_371.txt,1,156,156,23
level_372.txt,1,180,180,25
level_373.txt,1,160,160,21
level_374.txt,0,67,185,45
level_375.txt,1,167,167,25
level_376.txt,1,153,153,22
level_377.txt,1,155,155,23
level_378.txt,0,158,165,45
level_379.txt,1,165,165,27
level_380.txt,1,171,171,24
level_381.txt,0,23,159,45
level_382.txt,1,164,164,23
level_383.txt,1,172,172,24
level_384.txt,0,71,186,9
level_385.txt,1,148,148,23
level_386.txt,1,177,177,24
level_387.txt,0,18,135,45
level_388.txt,1,149,149,21
level_389.txt,1,160,160,23
level_390.txt,0,27,179,45
level_391.txt,1,163,163,22
level_392.txt,1,163,163,24
level_393.txt,1,175,175,23
level_394.txt,1,166,166,23
level_395.txt,1,166,166,23
level_396.txt,0,79,168,45
level_397.txt,1,161,161,24
level_398.txt,1,170,170,25
level_399.txt,1,156,156,22
level_400.txt,1,152,152,22
level_401.txt,1,185,185,23
level_402.txt,1,190,190,26
level_403.txt,0,59,179,45
level_404.txt,1,159,159,23
level_405.txt,0,167,183,18
level_406.txt,1,157,157,23
level_407.txt,1,182,182,30
level_408.txt,1,166,166,23
level_409.txt,1,164,164,23
level_410.txt,1,165,165,22
level_411.txt,0,136,160,17
level_412.txt,1,169,169,24
level_413.txt,1,157,157,26
level_414.txt,1,158,158,24
level_415.txt,1,174,174,24
level_416.txt,1,162,162,25
level_417.txt,1,152,152,22
level_418.txt,1,144,144,21
level_419.txt,1,180,180,24
level_420.txt,1,161,161,23
level_421.txt,1,180,180,25
level_422.txt,1,180,180,24
level_423.txt,1,159,159,23
level_424.txt,1,166,166,22
level_425.txt,1,119,119,18
level_426.txt,1,161,161,22
level_427.txt,0,50,164,45
level_428.txt,1,150,150,21
level_429.txt,1,155,155,21
level_430.txt,1,152,152,21
level_431.txt,1,171,171,25
level_432.txt,1,171,171,25
level_433.txt,1,166,166,23
level_434.txt,1,168,168,23
level_435.txt,1,177,177,24
level_436.txt,1,181,181,27
level_437.txt,1,186,186,24
level_438.txt,1,188,188,27
level_439.txt,1,182,182,26
level_440.txt,1,163,163,23
level_441.txt,1,162,162,22
level_442.txt,1,183,183,25
level_443.txt,1,151,151,22
level_444.txt,1,173,173,26
level_445.txt,1,149,149,23
level_446.txt,1,166,166,24
level_447.txt,1,164,164,22
level_448.txt,1,167,167,24
level_449.txt,1,166,166,23
level_450.txt,1,162,162,22
level_451.txt,1,166,166,24
level_452.txt,1,157,157,23
level_453.txt,1,169,169,25
level_454.txt,1,158,158,23
level_455.txt,0,34,160,45
level_456.txt,1,166,166,22
level_457.txt,1,182,182,28
level_458.txt,0,105,165,13
level_459.txt,1,155,155,22
level_460.txt,0,140,163,45
level_461.txt,0,147,198,45
level_462.txt,1,179,179,24
level_463.txt,1,165,165,25
level_464.txt,1,187,187,28
level_465.txt,1,151,151,23
level_466.txt,1,155,155,23
level_467.txt,1,201,201,27
level_468.txt,1,159,159,23
level_469.txt,1,175,175,23
level_470.txt,1,168,168,23
level_471.txt,1,148,148,20
level_472.txt,1,151,151,22
level_473.txt,0,115,145,45
level_474.txt,1,191,191,26
level_475.txt,1,168,168,23
level_476.txt,1,180,180,26
level_477.txt,1,166,166,24
level_478.txt,1,151,151,25
level_479.txt,1,163,163,23
level_480.txt,1,170,170,25
level_481.txt,1,177,177,24
level_482.txt,0,17,183,45
level_483.txt,1,182,182,26
level_484.txt,0,123,172,45
level_485.txt,1,160,160,22
level_486.txt,1,188,188,25
